ensembl_gene_id	hgnc_symbol	chromosome_name
ENSG00000000003	TSPAN6	X
ENSG00000000419	DPM1	20
ENSG00000000457	SCYL3	1
ENSG00000000460	C1orf112	1
ENSG00000000938	FGR	1
ENSG00000000971	CFH	1
ENSG00000001036	FUCA2	6
ENSG00000001084	GCLC	6
ENSG00000001167	NFYA	6
ENSG00000001460	STPG1	1
ENSG00000001461	NIPAL3	1
ENSG00000001497	LAS1L	X
ENSG00000001561	ENPP4	6
ENSG00000001617	SEMA3F	3
ENSG00000001626	CFTR	7
ENSG00000001629	ANKIB1	7
ENSG00000001630	CYP51A1	7
ENSG00000001631	KRIT1	7
ENSG00000002016	RAD52	12
ENSG00000002330	BAD	11
ENSG00000002549	LAP3	4
ENSG00000002586	CD99	X
ENSG00000002587	HS3ST1	4
ENSG00000002726	AOC1	7
ENSG00000002745	WNT16	7
ENSG00000002746	HECW1	7
ENSG00000002822	MAD1L1	7
ENSG00000002834	LASP1	17
ENSG00000002919	SNX11	17
ENSG00000002933	TMEM176A	7
ENSG00000003056	M6PR	12
ENSG00000003096	KLHL13	X
ENSG00000003147	ICA1	7
ENSG00000003249	DBNDD1	16
ENSG00000003393	ALS2	2
ENSG00000003400	CASP10	2
ENSG00000003402	CFLAR	2
ENSG00000003436	TFPI	2
ENSG00000003509	NDUFAF7	2
ENSG00000003756	RBM5	3
ENSG00000003987	MTMR7	8
ENSG00000004059	ARF5	7
ENSG00000004139	SARM1	17
ENSG00000004142	POLDIP2	17
ENSG00000004399	PLXND1	3
ENSG00000004455	AK2	1
ENSG00000004468	CD38	4
ENSG00000004478	FKBP4	12
ENSG00000004487	KDM1A	1
ENSG00000004534	RBM6	3
ENSG00000004660	CAMKK1	17
ENSG00000004700	RECQL	12
ENSG00000004766	VPS50	7
ENSG00000004776	HSPB6	19
ENSG00000004777	ARHGAP33	19
ENSG00000004779	NDUFAB1	16
ENSG00000004799	PDK4	7
ENSG00000004809	SLC22A16	6
ENSG00000004838	ZMYND10	3
ENSG00000004846	ABCB5	7
ENSG00000004848	ARX	X
ENSG00000004864	SLC25A13	7
ENSG00000004866	ST7	7
ENSG00000004897	CDC27	17
ENSG00000004939	SLC4A1	17
ENSG00000004948	CALCR	7
ENSG00000004961	HCCS	X
ENSG00000004975	DVL2	17
ENSG00000005001	PRSS22	16
ENSG00000005007	UPF1	19
ENSG00000005020	SKAP2	7
ENSG00000005022	SLC25A5	X
ENSG00000005059	MCUB	4
ENSG00000005073	HOXA11	7
ENSG00000005075	POLR2J	7
ENSG00000005100	DHX33	17
ENSG00000005102	MEOX1	17
ENSG00000005108	THSD7A	7
ENSG00000005156	LIG3	17
ENSG00000005175	RPAP3	12
ENSG00000005187	ACSM3	16
ENSG00000005189	REXO5	16
ENSG00000005194	CIAPIN1	16
ENSG00000005206	SPPL2B	19
